id,flag,data
141,1,steve and alex can press the air creat block youll need resourc creat them but theyr tricki way move around the stage and even protect yourself from attack get creativ 
143,1,squar with steve amp alex special move smashbrosultim use the mine abil gather resourc from the stage power your special move and attack resourc rang from wood diamond and which resourc you get can depend the level your 
145,0,yessss proud you 
147,0,thi shit made wanna cri too lmao congrat 
149,1,live road top continuesth new team good more get fuck come through 
151,1,hug wa never allow unless initi the loseri actual dont rememb time when anyon would handshak lmaofistbump till the end time 
153,1,say hello our bright and shine face particip smashsummit onlin the final three player join them will determin thi saturday through the rollback rumbl qualifi get hype 
155,0,bruh wa hella alon about start hike mad weird 
157,0,for the record tweet did not make the list wa too 
159,1,nah thi fire loool 
161,0,it favorit the bunch but also the least similar lmao 
163,0,sure there but also peopl just kinda know how they show their affect through their experi lollik know give fuck about give receiv gift lmao 
165,1,hey everyon can you take person respons pwetti pweas doesnt realli work polici thi countri lol 
167,0,make veri sad that thi dmca busi ha taken away from the novelti hear thi fire soundtrack ive grown kinda tire thi point and that wrong 
169,0,pay stupid money for thi 
171,1,you and pretti sure your play the celest soundtrack stream type thi lmao 
173,1,from alum who built twitch supporta lot thi the music industri shitti law but dont exempt twitch from blame theyv been extrem neglig all thi 
175,1,come with grand idea everi stream exhaust and that idea dud it defeat wellhav pokemon showdown reliabl goto stream that peopl love watch ha been amaz for mental realli cant thank yall enough for tune 
177,1,elo hell and need get out 
179,0,school credit card normal millenni shit lol 
181,0,aight lemm know whenev your all tryna and ill see free 
183,0,mannnnn keep come 
185,1,it top squad sick 
187,0,get closer and closer be complet debt free final feel free enough start invest with money 
189,0,you think you can handl littl sore befor head snowboard say skip the day after snowboard becaus youll definit need skip the gym after your first time board 
191,0,the refus republican leader acknowledg the result the presidenti elect not just attack biden attack american democraci and show the degre which the republican parti move toward authoritarian 
193,0,narcissist chiefwhil the pandem rage across the countri trump spend hi day plot how can overturn the elect result fortun will soon have presid who believ scienc and who prepar serv the american peopl not himself 
195,0,american kill world war over american kill vietnam war over american kill korean war over american kill the coronaviru over the covid pandem humanitarian disast pleas wear mask 
197,0,instead fight defeat the covid pandem that ha kill over american the trump administr spend it final day offic fight bogu voter fraud problem that doe not exist pathet the bidenharri administr cannot come soon enough 
199,0,cosponsor medicar for all were the ballot novemb all won cosponsor the green new deal were the ballot onli one lostour propos are not just good polici they are good polit 
201,0,what trump do right now delegitim our elector process and american democraci 
203,0,defeat trump and elect joe biden wa beginningnow the progress movement go ralli the american peopl around agenda that work for work peopl 
205,0,end citizen unitedif stop billionair from buy politiciansif move the public fund electionsif abolish the elector collegeth polit realiti america would fundament differ for the better let get done 
207,0,worker georgia make less than hour and voter georgia support increas the feder minimum wageif democrat take back the senat will increas the minimum wage from starvat wage hour live wage least hour 
209,0,with the coronaviru pandem surg it refresh see new leadership come into power who actual believ scienc joe biden and kamala harri understand that our first order busi must defeat thi deadli viru let get done 
211,0,florida pass minimum wagemontana south dakota arizona amp new jersey legal marijuanacolorado pass week paid famili leavearizona increas tax the rich fund educational over america voter approv progress agenda now congress must act 
213,0,thi elect wa about whether not remain countri that believ the constitut that believ the rule law and that believ democraci and thank god democraci won out 
215,0,want congratul all those who work hard make thi histor day possibl now through our continu grassroot organ let creat govern that work for all and not the few let creat nation built justic not greed and bigotri 
217,0,the youth thi countri are lead the fight for econom social racial and environment justic and they made all the differ thi elect vote huge numbersyeswhen stand togeth can creat nation base justic not greed and bigotri 
219,0,undermin the legitimaci electionwhat trump do now and fact ha done for monthsi how demagogu destroy faith democraci and move toward authoritarian 
221,0,the american peopl understand that health care human right need all let unit our countri let what the american peopl want let pass medicar for all 
223,0,now thi unpreced moment the time reaffirm our belief democraci and give state the time they need count everi ballot that the will the american peopl heard that what thi countri about and must alway about 
225,0,savannah nativ man and your next senat 
227,0,need creat govern that the peopl for the peopl and with the peopl will alway stand for san diego famili and readi washington continu deliv resultstoday the day vote poll close 
229,0,thi campaign for everi singl west virginian one who live here now one whove move away and want return and everi futur gener still comethi our time let rise togeth creat state are proud call homevot 
231,0,elect day should nation holiday 
233,0,thi campaign ha shown anyth that congress must pass real elect reform more voter suppress more fivehour wait line vote more threat not count mailin ballot must make easier for peopl vote not harder 
235,0,thi not just elect between trump and bidenthi elect about democraci authoritarian and democraci must winth first way that get out and vote overwhelm number and defeat trump the most danger presid american histori 
237,0,all fellow iowan and rural voter pleas out and vote and vote progressivethank you for perform tonight ralli 
239,0,want health care for thi countri have put the govern back the hand the peopl who better serv than 
241,0,think have forgotten thi countri what mean have thi idea health care right someth fundament that everyon should have and the govern should pay for 
243,0,who stand the way the better life that all want becaus isnt immigr isnt peopl receiv food stamp there are wealthi interest thi countri that would like noth more than see fight amongst ourselv 
245,0,grow major peopl recogn the futur will better when rais the minimum wage hour when union more workplac when enact medicar for all and green new deal 
247,0,wa year ago that berni and and maxin water lane evan ron dellum and tom adam found the progress caucu there were six six now it the second largest caucu the hous 
249,0,veri core belief what the deepest part soul that all human be are inher equal worth right and digniti justic mean live that out the world 
251,0,want you imagin democraci where teacher and nurs and essenti worker who aspir run for offic can mount competit campaign even they dont come from money 
253,0,what excit about now not just that were go rid ourselv the curs trump but that civic commun spirit solidar that were all togeth 
255,0,youv alreadi heard the news weve alreadi got recordbreak turnout texa district peopl have alreadi vote which the most ever and havent had elect day yet 
257,0,peopl recogn that thi not just battl for the soul our democraci that battl for better futur for progress futur 
259,0,peopl want make sure dont just return how thing were that the next two year they entrust with the hous the senat and the presid that two year later were go actual have improv their live 
261,0,tomorrow can not onli defeat trump can build progress futur our agenda the ballot join berni huge virtual ralli featur over progress candid now 
263,0,look forward join and other progress leader tonight ralli can make progress econom justic racial justic and environment justic vote for proven progress champion join 
265,0,tonight will go live with and leader from around the nation who are fight for the peopl you dont want miss thi yallstream right here and electionday electionev 
267,0,our valuesdriven agenda the ballotjoin and thi squad progress champion for one last getoutthevot ralli tonight watch live 
269,0,tonight join and more than progress candid who are run transform our countri work for all not just the wealthyour agenda the ballotwatch 
271,0,texa chang too young peopl are go make almost the elector and will not stop after novemb thi lifelong commit justic ofelia alonso 
273,0,ask you tonight find someon bring the pollsit may uncomfort reach out your friend votebut better uncomfort today than uncomfort wednesday morn trump win few vote 
275,0,then trump will continu hi lie about voter fraud attempt suppress enough vote win will not allow that happen everi vote must and will count 
277,0,thi come surpris ha been trump strategi for month and nobodi should fall for it whi demon mailin ballot and sabotag the postal servic 
279,0,wake novemb know you did everyth you could elect democrat join our get out the vote virtual ralli amp relat organ workshop with it not too late join sign now and well see you 
281,0,throw the poll the garbag thi what amo told congression race stay focus and dont underestim the power direct human contact the elect about peopl not poll 
283,0,the poll look goodso whatthat doesnt mean anythingthi will veri close race state after state after statein the next day pleas all you can get everyon you know votew cant have more year trump 
285,0,togeth can turn texa blue and soundli defeat trump join tomorrow for our virtual town hall fight for justic south texa featur watch 
287,0,our struggl build compassion nation with justic for all will onli succeed stand togeth the first step vote novemb join our gotv ralli with now 
289,0,when you hear peopl tell you thi the most import elect our lifetim theyr not kiddingthi elect not just about the economi climat chang educ and health carethi about whether retain american democraci 
291,0,happi birthday 
293,1,bowl cinnamon toast crunch into rees puff godlik that cinnamon peanut butter someth behold 
295,1,thi lad right here make some bomb mojito 
297,0,ill look into these thank for all suggest 
299,1,housem ha resist and play year ago cant rememb too much itplay coup last semest and wa fun hidden role game 
301,1,veri fun game 
303,0,commit 
305,0,first step happi relationship shut the toilet seat 
307,0,thank good isnt gen 
309,0,thank 
311,1,pogfish poggersfish 
313,0,thank kid 
315,0,thank man 
317,0,thanki 
319,1,bare play smash anyon but still regret say night that rool well design heavi 
321,1,shout out gamer dad 
323,0,also use weebli let goit got ban time but they ban all weebli but our web design class use weebli they unban 
325,1,poop funni 
327,1,ooga booga have edgi opinion 
329,0,just give tri 
331,0,watermelon chang the game 
333,0,cocobad more like 
335,0,thi seem like deep rabbit hole 
337,1,valor may have malwar attach but it refresh experi 
339,0,that wa the plan 
341,0,pretzel cream chees are gonna get through thi 
343,0,quarantin ha cook again 
345,1,massiv 
347,0,quarantin got all feel some kinda way 
349,0,sorri 
351,1,stuck everflow state alcohol and sobrieti 
353,1,add sinc got permad 
355,0,youv seen list good mon 
357,0,deserv noth and know 
359,0,regret inform you all that master mine ha been cancel due covidour school missouri sampt announc thi morn that all school sponsor event are cancel for the forese futurei truli sorri about thi but well see you all again 
361,0,got ice 
363,0,have elect wear santa hat when parti 
365,1,lol he such fcking loser 
367,0,hey look for partnerrel ship not onli sexual orient build relationship precis bdg 
369,1,sacrilegi get the chat 
371,0,had unfollow someon who wa fing retweet much kpop shit like girl have other friend who wanna see what theyr tweet your consum huge space feed sorri 
373,1,listen axel crazi frog know hi name crazi frog now 
375,1,latino mom when they see 
377,0,pleas chariti skydiv help disabl anim next year do selffund skydiv rais muchneed fund help rescu and treat sick injur and disabl anim pleas sponsor with ani amount larg small 
379,0,you 
381,0,lmfaoooo there are not million peopl there you fking liar hahahahahahaha 
383,0,what earth go 
385,0,surgeri remov cancer hey guy pleas support and donat thi mother who wa recent diagnos with cancer she requir immedi surgeri 
387,1,did anyon get fix for thi yet just need reinstal the game 
389,0,hypnot 
391,0,what more throw back terigali promot day gururandhawa guru 
393,0,you 
395,0,barebackedindianterror they never know until they are beaten that the person they are recruit harm pakistan belong nightmar enemi ye talk about isi 
397,0,send you smile for everi moment your special day have wonder time and veri happi diwali 
399,0,latest new scientist say usa ha cross threshold return covid extraordinari measur nationwid vaccin lock down nationwid mask it phase exponenti superspread thank trump and hi supporterstrumpviru pandem republicanviru 
401,0,wahala for who get grace it the background song for 
403,0,that whi the wall fuck wast 
405,0,nah thi doesnt bypass the law comput physic unfortunatelyy can instal the trial though and use studio asio which doesnt have exclus workaround 
407,0,nobodi forc you close your account with access bank but let assur you that the govern ever decid perform raid those who have spoken against access bank will willingli give your home address bank that doesnt respect the rule law 
409,0,exo wouldv serv hard with royalti concept 
411,0,davido abt stream are count million that boy too stubborn 
413,0,come monday interview devin bunten about her joint wlyndsey rolheis peopl park they model car ban two citi phoenix amp manhattan both with amp without land use reform reveal deep nexu between 
415,0,thank you god wa bless big butt 
417,0,keep cri 
419,0,self produc mean involv artist aspect doe not mean that the boy themselv are print and pack the album and cd their bare hand and post the countdown that bighit and the intern job cant believ explain thi 
421,0,live thi nightmar now wmi toxic hometown work from over mile away tri keep famili safe the midst wave here aunt wa expos jerk like thi even though she wa care she still icu mad right now could spit nail 
423,0,bless anoth year style and grace lost and learn lot but the life close still goe grate say the least happi birthday myself deserv rightbfoundersday 
425,0,get littl mucki travel periscopetv dogcelebr teddytal 
427,1,gem citi bowl championship pee wee footbal 
429,0,need the rice wing line whi dont anyon prov sell rice besid the spanish ppl 
431,0,like them the futur loml 
433,0,aiight you got child bill ppl depend you and you just got off feloni mean you probabl cant leav the countri even the state for some time not judg say right 
435,0,cant afford anoth soul tie the wrong soul 
437,0,menstruat not nasti and unfortun that should onli use describ their mental ill and life yearn get their dck cut insid out feel like 
440,0,like eat extravag sushi off paper plate and drink koolaid out gold wine glass that just the wave 
442,0,jame hardenmess with kid hi camp savag via mike goldfarb 
444,1,the academi ha alreadi given lebron jame best actor for space jam cavsvraptor 
446,1,squad get the dub thank the superb three point shoot and crisp pass from matt spencer thestreakliveson 
448,0,come out and support earth defend they take and the lah tah dee janurari the creve cour 
450,1,steph realli out there like it video game 
452,0,anyon interest play elit jleagu hoop troop for info 
454,0,mav histori thi day june amp the oneampdon boy made mffl proud do thi nbafin 
456,0,aim higher 
458,0,happi birthday keep grindin and mayb you can come close someday 
460,0,you can build your own dream somebodi els will hire you help build their 
462,0,done deal rajon rondo ha been trade the dalla maverick 
464,0,everybodi want good but who want bad enough the necessari work some ppl want but onli the cost cheap 
466,0,zach lavin might the most underr rooki hi class 
468,1,fortnit glitchcon event and fall guy final tonight 
470,1,twitch rival glitchcon let thi tune saturday and watch all day long see take the best the best for kglitchconmetasad 
472,1,valor rank grind and pokemon pvp 
474,1,have the best cypher way 
476,1,valor rank all night 
478,1,not fkn lose 
480,0, poopie
482,1,fun fact two year ago today saw advertis fortnit everi social media platform ampamp everi store the point where final made twitch ampamp made thi twitter accountso happi two year be around twitch courtesi ninja lol 
484,1,love qing into some rank valor after the lion blow out there oppon sunday afternoon 
486,0,give seriou idea what should get for christma 
488,0,notic bro sorri took second see love and appreci 
490,0,hex and icywind start with drif and keep him skarmori and spam ici wind off cool down defend against first sky attack and then let second hit youll surviv cuz ici wind uour oppon start with aerodactyl swap skarm immedi make sure skar ha ironw 
492,1,stream resum tomorrow interviewpr day today and bunch meeeeeet fortnit with the 
494,1,greatest pokemon pvperradi valor player the world live 
496,0,have visitor stream today 
498,0,live now excit play deadbydaylight with and see you there sponsor 
500,0,grind 
502,1,the taco bell grayslak hit differ not sure it becaus just grew here it not but the baja blast alway fresh and the food alway perfect never get stale taco jip sauc just thought would share thi have good night 
504,1,excit play dead daylight halloween with and and then play the rival tourney after saturday go lit 
506,1,plz let play more pvp match even cant earn reward they are fun and wanna perfect halloween team 
508,0,lost thi game but got back back after thi 
510,0,can you open dm quick 
512,1,ahema matter fact good person tyler ninja blevin popular internet person and content creator did inde ask hi commun have caught strong event pokmon yet for exampl squirtl charmand pikachugood day 
514,1,timein also look for coach help out with tacfp fundament pleas with resum and short bio about yourself 
516,0,best video youll see all day 
518,0,way thank you brother theyr dope 
520,1,did they just now add farfetchd evolut pokmon wa alway there 
522,0,fire stuff 
524,1,live for night valor chill sesh pwomis viewer 
526,1,thi came the mail today and love doe thi mean win the tourney today think and man comfi 
528,1,get insta radiant solo and duotrio stack 
530,0,hmmm idk like these more than the classic but some these new detail are 
532,0,omg love these shoe they look amaz 
534,1,valor and chill pokemon between game 
536,0,sweatpant came the mail today love them lot 
538,0,ninja couldnt make now go against addison rae see you all hour 
540,0,use premier cup what then hate legendari 
542,1,need pokmon advic pleas watch plz help 
544,1,damn hit radiant thi season befor did gg it been real guy but ima head out 
546,0,the adidasbyninja chase the spark collect here hope these shoe will inspir all you keep do what you love and see where that can take you createdwithadidasavail now 
